TimeStamp;Relative Time;srcIP;dstIP;srcPort;dstPort;ipLen;MMS Type;MMS Service;Invoke Id;Domain Id;Item Id;Object Class
14:24:50.87;0.868153000;192.168.1.11;192.168.1.52;49623;102;78;0;1;720163;;;9
14:24:50.88;0.881683000;192.168.1.52;192.168.1.11;102;49623;564;1;1;720163;;;
14:24:52.97;2.976232000;192.168.1.12;192.168.1.52;35091;102;78;0;1;137639;;;9
14:24:52.99;2.989919000;192.168.1.52;192.168.1.12;102;35091;564;1;1;137639;;;
14:24:54.26;4.259552000;192.168.1.11;192.168.1.61;49621;102;78;0;1;720164;;;9
14:24:54.26;4.262529000;192.168.1.61;192.168.1.11;102;49621;141;1;1;720164;;;
14:24:54.80;4.800193000;192.168.1.11;192.168.1.51;49622;102;78;0;1;720165;;;9
14:24:54.81;4.813773000;192.168.1.51;192.168.1.11;102;49622;556;1;1;720165;;;
14:24:55.89;5.891341000;192.168.1.11;192.168.1.52;49623;102;78;0;1;720166;;;9
14:24:55.90;5.904236000;192.168.1.52;192.168.1.11;102;49623;564;1;1;720166;;;
14:24:59.27;9.277478000;192.168.1.11;192.168.1.61;49621;102;78;0;1;720167;;;9
14:24:59.28;9.280453000;192.168.1.61;192.168.1.11;102;49621;141;1;1;720167;;;
14:24:59.57;9.576498000;192.168.1.12;192.168.1.51;35347;102;78;0;1;137640;;;9
14:24:59.59;9.590401000;192.168.1.51;192.168.1.12;102;35347;556;1;1;137640;;;
14:24:59.82;9.822615000;192.168.1.11;192.168.1.51;49622;102;78;0;1;720168;;;9
14:24:59.83;9.836448000;192.168.1.51;192.168.1.11;102;49622;556;1;1;720168;;;
14:25:00.92;10.919588000;192.168.1.11;192.168.1.52;49623;102;78;0;1;720169;;;9
14:25:00.93;10.933006000;192.168.1.52;192.168.1.11;102;49623;564;1;1;720169;;;
14:25:03.01;13.011576000;192.168.1.12;192.168.1.52;35091;102;78;0;1;137641;;;9
14:25:03.02;13.025285000;192.168.1.52;192.168.1.12;102;35091;564;1;1;137641;;;
14:25:04.30;14.304597000;192.168.1.11;192.168.1.61;49621;102;78;0;1;720170;;;9
14:25:04.30;14.307371000;192.168.1.61;192.168.1.11;102;49621;141;1;1;720170;;;
14:25:04.85;14.848610000;192.168.1.11;192.168.1.51;49622;102;78;0;1;720171;;;9
14:25:04.86;14.860948000;192.168.1.51;192.168.1.11;102;49622;556;1;1;720171;;;
14:25:05.94;15.938806000;192.168.1.11;192.168.1.52;49623;102;78;0;1;720172;;;9
14:25:05.95;15.952368000;192.168.1.52;192.168.1.11;102;49623;564;1;1;720172;;;
14:25:09.32;19.322787000;192.168.1.11;192.168.1.61;49621;102;78;0;1;720173;;;9
14:25:09.32;19.325630000;192.168.1.61;192.168.1.11;102;49621;141;1;1;720173;;;
14:25:09.60;19.607738000;192.168.1.12;192.168.1.51;35347;102;78;0;1;137642;;;9
14:25:09.62;19.621086000;192.168.1.51;192.168.1.12;102;35347;556;1;1;137642;;;
14:25:09.87;19.868684000;192.168.1.11;192.168.1.51;49622;102;78;0;1;720174;;;9
14:25:09.88;19.881758000;192.168.1.51;192.168.1.11;102;49622;556;1;1;720174;;;
14:25:10.96;20.962917000;192.168.1.11;192.168.1.52;49623;102;78;0;1;720175;;;9
14:25:10.97;20.976296000;192.168.1.52;192.168.1.11;102;49623;564;1;1;720175;;;
14:25:13.04;23.041906000;192.168.1.12;192.168.1.52;35091;102;78;0;1;137643;;;9
14:25:13.05;23.055216000;192.168.1.52;192.168.1.12;102;35091;564;1;1;137643;;;
14:25:14.35;24.349971000;192.168.1.11;192.168.1.61;49621;102;78;0;1;720176;;;9
14:25:14.35;24.352841000;192.168.1.61;192.168.1.11;102;49621;141;1;1;720176;;;
14:25:14.89;24.893842000;192.168.1.11;192.168.1.51;49622;102;78;0;1;720177;;;9
14:25:14.90;24.907458000;192.168.1.51;192.168.1.11;102;49622;556;1;1;720177;;;
14:25:15.98;25.985907000;192.168.1.11;192.168.1.52;49623;102;78;0;1;720178;;;9
14:25:16.00;26.000974000;192.168.1.52;192.168.1.11;102;49623;564;1;1;720178;;;
14:25:19.37;29.375009000;192.168.1.11;192.168.1.61;49621;102;78;0;1;720179;;;9
14:25:19.37;29.377838000;192.168.1.61;192.168.1.11;102;49621;141;1;1;720179;;;
14:25:19.62;29.622033000;192.168.1.12;192.168.1.51;35347;102;78;0;1;137644;;;9
14:25:19.63;29.636107000;192.168.1.51;192.168.1.12;102;35347;556;1;1;137644;;;
14:25:19.92;29.920045000;192.168.1.11;192.168.1.51;49622;102;78;0;1;720180;;;9
14:25:19.93;29.933695000;192.168.1.51;192.168.1.11;102;49622;556;1;1;720180;;;
14:25:21.01;31.011136000;192.168.1.11;192.168.1.52;49623;102;78;0;1;720181;;;9
14:25:21.02;31.024298000;192.168.1.52;192.168.1.11;102;49623;564;1;1;720181;;;
14:25:23.05;33.053139000;192.168.1.12;192.168.1.52;35091;102;78;0;1;137645;;;9
14:25:23.06;33.067138000;192.168.1.52;192.168.1.12;102;35091;564;1;1;137645;;;
14:25:24.39;34.397137000;192.168.1.11;192.168.1.61;49621;102;78;0;1;720182;;;9
14:25:24.40;34.399958000;192.168.1.61;192.168.1.11;102;49621;141;1;1;720182;;;
14:25:24.94;34.943152000;192.168.1.11;192.168.1.51;49622;102;78;0;1;720183;;;9
14:25:24.95;34.956674000;192.168.1.51;192.168.1.11;102;49622;556;1;1;720183;;;
14:25:26.03;36.034315000;192.168.1.11;192.168.1.52;49623;102;78;0;1;720184;;;9
14:25:26.05;36.048523000;192.168.1.52;192.168.1.11;102;49623;564;1;1;720184;;;
14:25:29.41;39.417270000;192.168.1.11;192.168.1.61;49621;102;78;0;1;720185;;;9
14:25:29.42;39.420042000;192.168.1.61;192.168.1.11;102;49621;141;1;1;720185;;;
14:25:29.65;39.654349000;192.168.1.12;192.168.1.51;35347;102;78;0;1;137646;;;9
14:25:29.67;39.669623000;192.168.1.51;192.168.1.12;102;35347;556;1;1;137646;;;
14:25:29.96;39.961518000;192.168.1.11;192.168.1.51;49622;102;78;0;1;720186;;;9
14:25:29.97;39.977236000;192.168.1.51;192.168.1.11;102;49622;556;1;1;720186;;;
14:25:31.05;41.052450000;192.168.1.11;192.168.1.52;49623;102;78;0;1;720187;;;9
14:25:31.06;41.066199000;192.168.1.52;192.168.1.11;102;49623;564;1;1;720187;;;
14:25:33.08;43.084386000;192.168.1.12;192.168.1.52;35091;102;78;0;1;137647;;;9
14:25:33.10;43.099590000;192.168.1.52;192.168.1.12;102;35091;564;1;1;137647;;;
14:25:34.44;44.440603000;192.168.1.11;192.168.1.61;49621;102;78;0;1;720188;;;9
14:25:34.44;44.443512000;192.168.1.61;192.168.1.11;102;49621;141;1;1;720188;;;
